"SP_ID","terrai_nom","terrai_pro","status_ter","fase_descr","tipo_terra","terrai_fai","terrai_obs","terrai_are","situa_desc","tipo_area_","terrai_per","terrai_pop","id","dist"
"22","Apinayé",".","Concluído","Regularizada","Terra Indígena","N",NA,"141904.2092 Ha","Ativo","Principal","178.01832 Ha",NA,23,3531.87373803749
"23","Apipica",".","Concluído","Regularizada","Terra Indígena","N",NA,"652.7562 Ha","Ativo","Principal","21.82696 Ha",NA,24,40261.0088571092
"24","Apucarana",".","Reserva SPI","Regularizada","Reserva Indígena","N",NA,"5574.9450 Ha","Ativo","Principal","48.58212 Ha",NA,25,15003.8880645008
"25","Apurinã do Igarapé São João",".","Homologada","Regularizada","Terra Indígena","N",NA,"18232.4221 Ha","Ativo","Principal","88.04480 Ha",NA,26,90500.7492977886
"26","Apurinã Igarapé Tauamirim",".","Concluído","Regularizada","Terra Indígena","N",NA,"96456.5072 Ha","Ativo","Principal","170.62262 Ha",NA,27,70676.1551441364
"27","Apurinã Km 124 BR-317",".","Concluído","Regularizada","Terra Indígena","N",NA,"42197.6055 Ha","Ativo","Principal","109.86670 Ha",NA,28,7717.69439988146
"28","Apyterewa",".","Homologada","Regularizada","Terra Indígena","N",NA,"773470.0313 Ha","Ativo","Principal","527.90544 Ha",NA,29,79145.6017992717
"29","Araçá",".","Concluído","Regularizada","Terra Indígena","S",NA,"50018.3000 Ha","Ativo","Principal","13.00000 Ha",NA,30,3298.7242974629
"30","Arara",".","Concluído","Regularizada","Terra Indígena","N",NA,"274010.0240 Ha","Ativo","Principal","298.77196 Ha",NA,31,16819.1481579177
"31","Arara do Rio Branco",".","Concluído","Regularizada","Terra Indígena","N",NA,"114842.4748 Ha","Ativo","Principal","196.53254 Ha",NA,32,169303.296558036
"32","Arara do Igarapé Humaitá",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"87571.6965 Ha","Ativo","Principal","140.04790 Ha",NA,33,69893.3911892337
"33","Araribá",".","Estudos Antropológicos","Regularizada","Terra Indígena","N",NA,"1930.3369 Ha","Ativo","Principal","25.54380 Ha",NA,34,6452.37472129466
"34","Arariboia",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"413288.0472 Ha","Ativo","Principal","277.82175 Ha",NA,35,21288.9046740321
"35","Arary",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"40750.0000 Ha","Ativo","Principal","114.00000 Ha",NA,36,86275.6650409685
"36","Araweté Igarapé Ipixuna",".","Concluído","Regularizada","Terra Indígena","N",NA,"940900.8000 Ha","Ativo","Principal","576.38000 Ha",NA,37,37467.2007233694
"37","Areões",".","Concluído","Regularizada","Terra Indígena","N",NA,"218515.0000 Ha","Ativo","Principal","265.60400 Ha",NA,38,34016.0326653753
"38","Aripuanã",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"750649.2650 Ha","Ativo","Principal","565.03797 Ha",NA,39,154782.004335988
"39","Ariramba",".","Concluído","Regularizada","Terra Indígena","N",NA,"142.2979 Ha","Ativo","Principal","69.00000 Ha",NA,40,20547.8473800517
"40","Arroio-Korá",".","Homologada","Homologada","Terra Indígena","S",NA,"7175.7747 Ha","Ativo","Principal","48.64039 Ha",NA,41,2044.69460116565
"41","Atikum",".","Concluído","Regularizada","Terra Indígena","N",NA,"16290.1893 Ha","Ativo","Principal","54.56587 Ha",NA,42,3843.95357748926
"42","Avá-Canoeiro",".","Homologada","Declarada","Terra Indígena","N",NA,"38000.0000 Ha","Ativo","Principal","90.00000 Ha",NA,43,40345.844397334
"43","Avá-Guarani do Ocoí",".","Registrada como Dominial","Reserva Indígena","Reserva Indígena","S",NA,"231.8870 Ha","Ativo","Principal","24.34700 Ha",NA,44,11145.5685159546
"44","Awa",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"116582.9182 Ha","Ativo","Principal","204.88128 Ha",NA,45,29171.1160461152
"45","Bacurizinho",".","Concluído","Regularizada","Terra Indígena","N",NA,"82432.4931 Ha","Ativo","Principal","132.80800 Ha",NA,46,11618.5178249242
"46","Bacurizinho",".","Demarcação Física","Declarada","Terra Indígena","N",NA,"134040.0000 Ha","Ativo","Reestudo","202.00000 Ha",NA,47,13102.1159895483
"47","Badjonkore",".","Concluído","Regularizada","Terra Indígena","N",NA,"221981.6373 Ha","Ativo","Principal","293.02607 Ha",NA,48,149450.572643946
"48","Baia do Guató",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"19164.0000 Ha","Ativo","Principal","102.00000 Ha",NA,49,2928.50218531416
"49","Bakairi",".","Concluído","Regularizada","Terra Indígena","N",NA,"61405.4605 Ha","Ativo","Principal","135.57308 Ha",NA,50,11519.1973766918
"50","Balaio",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"257281.4601 Ha","Ativo","Principal","270.47599 Ha",NA,51,174106.008852561
"51","Banawá",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"192659.6666 Ha","Ativo","Principal","270.59908 Ha",NA,52,58004.7618850722
"52","Barão de Antonina",".","Concluído","Regularizada","Terra Indígena","N",NA,"3750.7220 Ha","Ativo","Principal","32.98040 Ha",NA,53,3474.78664510636
"53","Barata Livramento",".","Concluído","Regularizada","Terra Indígena","N",NA,"12883.2701 Ha","Ativo","Principal","60.48300 Ha",NA,54,2037.43242203539
"54","Barra",".","Concluído","Regularizada","Reserva Indígena","N",NA,"62.0000 Ha","Ativo","Principal","4.00000 Ha",NA,55,1960.78431372549
"55","Barra Velha",".","Concluído","Regularizada","Terra Indígena","N",NA,"8627.4590 Ha","Ativo","Principal","71.74100 Ha",NA,56,15462.904448649
"56","Barra Velha",".","Exame do Min. da Justiça","Delimitada","Terra Indígena","N",NA,"52748.0000 Ha","Ativo","Reestudo","137.00000 Ha",NA,57,25571.646153411
"57","Barreira da Missão",".","Processo de Homologação","Homologada","Terra Indígena","N",NA,"1772.4237 Ha","Ativo","Principal","16.51940 Ha",NA,58,366989.808157895
"58","Batovi",".","Concluído","Regularizada","Terra Indígena","N",NA,"5158.9817 Ha","Ativo","Principal","50.84590 Ha",NA,59,132223.546336077
"59","Baú",".","Processo de Homologação","Regularizada","Terra Indígena","N","Subgrupo Menkrangnotí.","1540930.1555 Ha","Ativo","Principal","700.95420 Ha",NA,60,273094.775385482
"60","Betania",".","Concluído","Regularizada","Terra Indígena","N",NA,"122769.0265 Ha","Ativo","Principal","242.12207 Ha",NA,61,212799.640328833
"61","Boa Vista Sertão do Promirim",".","Análise da Delimitação","Delimitada","Terra Indígena","N",NA,"5420.0000 Ha","Ativo","Reestudo","36.00000 Ha",NA,62,3608.2442289202
"62","Boca do Acre",".","Concluído","Regularizada","Terra Indígena","N",NA,"26240.4231 Ha","Ativo","Principal","135.72194 Ha",NA,63,12516.7731056994
"63","Bom Intento",".","Concluído","Regularizada","Terra Indígena","N",NA,"1613.0430 Ha","Ativo","Principal","16.97127 Ha",NA,64,23111.1507257671
"64","Bom Jesus",".","Concluído","Regularizada","Terra Indígena","N",NA,"859.1271 Ha","Ativo","Principal","13.83871 Ha",NA,65,8069.67834003823
"65","Boqueirão",".","Concluído","Regularizada","Terra Indígena","N",NA,"16354.0776 Ha","Ativo","Principal","54.91386 Ha",NA,66,3903.4383958353
"66","Brejo do Burgo",".","Homologada","Regularizada","Terra Indígena","N",NA,"17924.8496 Ha","Ativo","Principal","67.20651 Ha",NA,67,2675.79221936205
"67","Buriti",".","Concluído","Regularizada","Terra Indígena","N",NA,"2090.1691 Ha","Ativo","Principal","24.23071 Ha",NA,68,751.750840640721
"68","Buriti",".","Homologada","Declarada","Terra Indígena","N",NA,"17200.0000 Ha","Ativo","Reestudo","78.00000 Ha",NA,69,3138.31353592433
"69","Buritizinho",".","Concluído","Regularizada","Terra Indígena","N",NA,"9.7428 Ha","Ativo","Principal","1.25889 Ha",NA,70,100
"70","Caarapó",".","Certidão SPU","Regularizada","Terra Indígena","N",NA,"3594.4154 Ha","Ativo","Principal","25.74160 Ha",NA,71,918.349701897162
"71","Cabeceira do Rio Acre",".","Concluído","Regularizada","Terra Indígena","N",NA,"78512.5834 Ha","Ativo","Principal","171.06459 Ha",NA,72,11224.932885253
"72","Cacau do Tarauaca",".","Concluído","Regularizada","Terra Indígena","N",NA,"28367.2948 Ha","Ativo","Principal","85.70390 Ha",NA,73,46413.0369376226
"73","Cachoeira dos Inácios",".","Adquirido","Reserva Indígena","Reserva Indígena","N",NA,"80.0000 Ha","Ativo","Principal","5.00000 Ha",NA,74,6093.91598218108
"74","Cachoeira Seca",".","Homologada","Declarada","Terra Indígena","N",NA,"733688.2507 Ha","Ativo","Principal","558.41661 Ha",NA,75,50555.234197665
"75","Cachoeirinha",".","Reserva SPI","Regularizada","Reserva Indígena","N",NA,"2658.1634 Ha","Ativo","Principal","22.42555 Ha",NA,76,1177.635592944
"76","Cachoeirinha",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"36288.0000 Ha","Ativo","Reestudo","100.00000 Ha",NA,77,2527.68761195821
"77","Cacique Doble",".","Concluído","Regularizada","Terra Indígena","N",NA,"4426.2833 Ha","Ativo","Principal","39.94175 Ha",NA,78,3567.96348510439
"78","Caiçara/Ilha de São Pedro",".","Concluído","Regularizada","Terra Indígena","N",NA,"4316.7768 Ha","Ativo","Principal","35.52993 Ha",NA,79,8396.56031186407
"79","Caieiras Velha",".","Concluído","Regularizada","Terra Indígena","N",NA,"2997.2533 Ha","Ativo","Principal","33.80054 Ha",NA,80,1062.63185764526
"80","Tupiniquim",".","Registro Cartorial","Homologada","Terra Indígena","N",NA,"14282.7968 Ha","Ativo","Reestudo","54.19297 Ha",NA,81,2191.41020397086
"81","Caititu",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"308062.6156 Ha","Ativo","Principal","398.80967 Ha",NA,82,53056.4448757683
"82","Cajueiro",".","Estudos Complementares","Regularizada","Terra Indígena","S",NA,"4303.8482 Ha","Ativo","Principal","32076.00000 Ha",NA,83,4242.83598473768
"83","Cajuhiri Atravessado",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"12500.0000 Ha","Ativo","Principal","69.00000 Ha",NA,84,218923.341287625
"84","Camadeni",".","Concluído","Regularizada","Terra Indígena","N",NA,"150930.5549 Ha","Ativo","Principal","267.32758 Ha",NA,85,53988.8659569459
"85","Camicua",".","Concluído","Regularizada","Terra Indígena","N",NA,"58519.5999 Ha","Ativo","Principal","137.11707 Ha",NA,86,23668.0318906682
"86","Campinas/Katukina",".","Concluído","Regularizada","Terra Indígena","N",NA,"32623.6443 Ha","Ativo","Principal","102.35025 Ha",NA,87,5920.73075879833
"87","Cana Brava/Guajajara",".","Demarcação Física","Regularizada","Terra Indígena","N",NA,"137329.5429 Ha","Ativo","Principal","188.49853 Ha",NA,88,6138.74352216416
"88","Canauanim",".","Concluído","Regularizada","Terra Indígena","S",NA,"11182.4372 Ha","Ativo","Principal","50.47964 Ha",NA,89,5992.4140223411
"89","Cantagalo",".","Processo de Homologação","Homologada","Terra Indígena","N",NA,"283.6761 Ha","Ativo","Principal","8.85605 Ha",NA,90,4750.68436366163
"90","Capivari",".","Concluído","Regularizada","Terra Indígena","N",NA,"43.3215 Ha","Ativo","Principal","3.46595 Ha",NA,91,11956.0952148438
"91","Capoto/Jarina",".","Concluído","Regularizada","Terra Indígena","N","Subgrupo Metyktire.","634915.2256 Ha","Ativo","Principal","415.45500 Ha",NA,92,190609.495055193
"92","Caramuru/Paraguassu",".","Homologada","Declarada","Reserva Indígena","N",NA,"54105.0000 Ha","Ativo","Principal","129.00000 Ha",NA,93,4326.10804774242
"93","Carretão I",".","Concluído","Regularizada","Terra Indígena","N",NA,"1666.4512 Ha","Ativo","Principal","19.14814 Ha",NA,94,771.254880386688
"94","Carretão II",".","Concluído","Regularizada","Terra Indígena","N",NA,"77.5043 Ha","Ativo","Principal","4.94604 Ha",NA,95,285.714285714286
"95","Carreteiro",".","Concluído","Regularizada","Terra Indígena","N",NA,"602.9751 Ha","Ativo","Principal","11.05951 Ha",NA,96,646.399546249137
"96","Caru",".","Concluído","Regularizada","Terra Indígena","N",NA,"172667.3777 Ha","Ativo","Principal","296.67100 Ha",NA,97,52336.3137248746
"97","Catipari/Mamoria",".","Concluído","Regularizada","Terra Indígena","N",NA,"115044.3509 Ha","Ativo","Principal","253.13639 Ha",NA,98,47573.1570499789
"98","Cerrito",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"1950.9806 Ha","Ativo","Principal","18.30239 Ha",NA,99,775.838748747267
"99","Coata-Laranjal",".","Demarcação Física","Regularizada","Terra Indígena","N",NA,"1153210.1124 Ha","Ativo","Principal","549.35587 Ha",NA,100,140570.999015251
"100","Comboios",".","Contraditório","Homologada","Terra Indígena","N",NA,"2983.6511 Ha","Ativo","Principal","49.86428 Ha",NA,101,11504.3909579663
"101","Coroa Vermelha",".","Concluído","Regularizada","Terra Indígena","N",NA,"2299.0600 Ha","Ativo","Principal","25.54200 Ha",NA,102,2449.57295316091
"102","Córrego João Pereira",".","Concluído","Regularizada","Terra Indígena","N",NA,"3162.3901 Ha","Ativo","Principal","27.43923 Ha",NA,103,6854.94620595488
"103","Cuia",".","Concluído","Regularizada","Terra Indígena","N",NA,"1322.3875 Ha","Ativo","Principal","16.71222 Ha",NA,104,50623.5251723987
"104","Cuiu-Cuiu",".","Concluído","Regularizada","Terra Indígena","N",NA,"36450.9765 Ha","Ativo","Principal","112480.38000 Ha",NA,105,476226.789966684
"105","Cunhã-Sapucaia",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"471450.5393 Ha","Ativo","Principal","449.72827 Ha",NA,106,35874.1020119271
"106","Deni",".","Concluído","Regularizada","Terra Indígena","N",NA,"1531303.4990 Ha","Ativo","Principal","919.00055 Ha",NA,107,35563.4751286033
"107","Diahui",".","Concluído","Regularizada","Terra Indígena","N",NA,"47354.6030 Ha","Ativo","Principal","152.42350 Ha",NA,108,23727.5870395563
"108","Dourados",".","Planejamento da Demarcação","Regularizada","Reserva Indígena","N",NA,"3474.5957 Ha","Ativo","Principal","30.65908 Ha",NA,109,2021.2166536142
"109","Enawenê-Nawê",".","Concluído","Regularizada","Terra Indígena","N",NA,"742088.6783 Ha","Ativo","Principal","658.52244 Ha",NA,110,63827.6106640362
"110","Entre Serras",".","Homologada","Regularizada","Terra Indígena","N",NA,"7550.0875 Ha","Ativo","Principal","54.00394 Ha",NA,111,2616.47594514571
"111","Erikpatsá",".","Registro Cartorial","Regularizada","Terra Indígena","N",NA,"79934.8010 Ha","Ativo","Principal","197.85604 Ha",NA,112,181107.469404496
"112","Escondido",".","Processo de Homologação","Homologada","Terra Indígena","N",NA,"168938.4680 Ha","Ativo","Principal","205.46308 Ha",NA,113,84685.2699381256
"113","Espírito Santo",".","Concluído","Regularizada","Terra Indígena","N",NA,"33849.0871 Ha","Ativo","Principal","114940.45000 Ha",NA,114,327791.560995749
"114","Estação Parecis",".","Contraditório","Delimitada","Terra Indígena","N",NA,"2170.0000 Ha","Ativo","Principal","22.00000 Ha",NA,115,1455.66090351366
"115","Estivadinho",".","Concluído","Regularizada","Terra Indígena","N",NA,"2031.9414 Ha","Ativo","Principal","19.16554 Ha",NA,116,4329.79036651521
"116","Estrela da Paz",".","Concluído","Regularizada","Terra Indígena","N",NA,"12876.4893 Ha","Ativo","Principal","53.55929 Ha",NA,117,352769.547702415
"117","Évare I",".","Concluído","Regularizada","Terra Indígena","N",NA,"548177.5963 Ha","Ativo","Principal","448.83501 Ha",NA,118,69334.2600757186
"118","Évare II",".","Concluído","Regularizada","Terra Indígena","N",NA,"176205.7183 Ha","Ativo","Principal","242.72518 Ha",NA,119,102716.405280813
"119","Faxinal",".","Registro Cartorial","Homologada","Terra Indígena","N",NA,"2043.8948 Ha","Ativo","Principal","17.91762 Ha",NA,120,1786.75727580144
"120","Fazenda Bahiana",".","Concluído","Regularizada","Reserva Indígena","N",NA,"304.5600 Ha","Ativo","Principal","7.60104 Ha",NA,121,3328.27126918386
"121","Fazenda Canto",".","Adquirido","Reserva Indígena","Reserva Indígena","N",NA,"276.5494 Ha","Ativo","Principal","9.76300 Ha",NA,122,2356.13544648269
"122","Tuxá de Inajá",".","Adquirido","Reserva Indígena","Reserva Indígena","N",NA,"140.0000 Ha","Ativo","Principal","7.00000 Ha",NA,123,613.26044236568
"123","Fazenda Guarani",".","Concluído","Regularizada","Terra Indígena","N",NA,"3269.7126 Ha","Ativo","Principal","24.49598 Ha",NA,124,4014.53650526184
"124","Figueiras",".","Concluído","Regularizada","Terra Indígena","N",NA,"9858.9291 Ha","Ativo","Principal","42.85817 Ha",NA,125,18778.504936475
"125","Fortaleza do Castanho",".","Concluído","Regularizada","Terra Indígena","N",NA,"2756.1622 Ha","Ativo","Principal","31.57863 Ha",NA,126,25402.2035558883
"126","Fortaleza do Patauá",".","Concluído","Regularizada","Terra Indígena","N",NA,"743.5829 Ha","Ativo","Principal","11.48860 Ha",NA,127,21627.1028411416
"127","Fulni-ô",".","Análise da Delimitação","Em Estudo","Reserva Indígena","N",NA,"0.0000 Ha","Ativo","Principal","0.00000 Ha",NA,128,1250.44252504097
"128","Funil",".","Concluído","Regularizada","Terra Indígena","N",NA,"15703.7974 Ha","Ativo","Principal","54.04273 Ha",NA,129,6680.93292153887
"129","Galibi",".","Concluído","Regularizada","Terra Indígena","S",NA,"6689.1928 Ha","Ativo","Principal","37.37400 Ha",NA,130,16556.7637848833
"130","Gavião",".","Concluído","Regularizada","Terra Indígena","N",NA,"8611.8548 Ha","Ativo","Principal","41.29165 Ha",NA,131,37999.2446440226
"131","Geralda Toco Preto",".","Concluído","Regularizada","Terra Indígena","N",NA,"18506.2081 Ha","Ativo","Principal","54.71584 Ha",NA,132,3059.21301752314
"132","Governador",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"41643.7567 Ha","Ativo","Principal","92.33800 Ha",NA,133,8270.44101175663
"133","Guaimbé",".","Concluído","Regularizada","Terra Indígena","S",NA,"716.9316 Ha","Ativo","Principal","14.84100 Ha",NA,134,1506.95643769018
"134","Guajahã",".","Concluído","Regularizada","Terra Indígena","N",NA,"5036.8446 Ha","Ativo","Principal","40.54909 Ha",NA,135,19478.9087430191
"135","Guarani Araponga",".","Concluído","Regularizada","Terra Indígena","N",NA,"213.2033 Ha","Ativo","Principal","7.17505 Ha",NA,136,2749.57001023065
"136","Guarani Barra do Ouro",".","Concluído","Regularizada","Terra Indígena","N",NA,"2268.6045 Ha","Ativo","Principal","40.21071 Ha",NA,137,6012.57345272648
"137","Guarani da Barragem",".","Concluído","Regularizada","Terra Indígena","N",NA,"26.3000 Ha","Ativo","Principal","2.15383 Ha",NA,138,7071.06787109375
"138","Guarani de Águas Brancas",".","Planejamento da Demarcação","Declarada","Terra Indígena","N",NA,"230.0000 Ha","Ativo","Principal","9.00000 Ha",NA,139,1193.30620849609
"139","Guarani de Bracui",".","Concluído","Regularizada","Terra Indígena","N",NA,"2127.8664 Ha","Ativo","Principal","25.25498 Ha",NA,140,4705.06697494474
"140","Guarani do Aguapeu",".","Concluído","Regularizada","Terra Indígena","N",NA,"4372.2599 Ha","Ativo","Principal","35.90885 Ha",NA,141,19003.5492146757
"141","Guarani de Araçai",".","Demarcação Física","Declarada","Terra Indígena","S",NA,"2721.0000 Ha","Ativo","Principal","29.00000 Ha",NA,142,3949.32808260551
"142","Guarani Votouro",".","Concluído","Regularizada","Terra Indígena","S",NA,"717.3770 Ha","Ativo","Principal","16.22317 Ha",NA,143,4704.93760070801
"143","Guarita",".","Concluído","Regularizada","Terra Indígena","N",NA,"23406.8684 Ha","Ativo","Principal","95.51199 Ha",NA,144,4172.27074720128
"144","Guasuti",".","Concluído","Regularizada","Terra Indígena","S",NA,"958.7993 Ha","Ativo","Principal","13.71145 Ha",NA,145,1963.22612730584
"145","Guató",".","Concluído","Regularizada","Terra Indígena","S",NA,"10984.7941 Ha","Ativo","Principal","94.49243 Ha",NA,146,20834.5453646157
"146","Guyraroká",".","Demarcação Física","Declarada","Terra Indígena","N",NA,"11440.0000 Ha","Ativo","Principal","48.00000 Ha",NA,147,4414.59046190688
"147","Hi Merimã",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"677840.3204 Ha","Ativo","Principal","704.84196 Ha",NA,148,84623.2436589691
"148","Ibirama",".","Concluído","Regularizada","Terra Indígena","N",NA,"14084.8860 Ha","Ativo","Principal","54.87290 Ha",NA,149,6819.33768988629
"149","Ibirama-La Klãnô",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"37108.0000 Ha","Ativo","Reestudo","110.00000 Ha",NA,150,10517.5932119086
"150","Ibotirama",".","Adquirido","Reserva Indígena","Reserva Indígena","N",NA,"2019.7079 Ha","Ativo","Principal","20.01175 Ha",NA,151,1650.15484898579
"151","Icatu",".","Concluído","Regularizada","Terra Indígena","N",NA,"300.9625 Ha","Ativo","Principal","7.90179 Ha",NA,152,2741.81072138707
"152","Igarapé Capana",".","Concluído","Regularizada","Terra Indígena","N",NA,"122555.6647 Ha","Ativo","Principal","192.14066 Ha",NA,153,23014.5448879281
"153","Igarapé do Caucho",".","Concluído","Regularizada","Terra Indígena","S",NA,"12317.8938 Ha","Ativo","Principal","50.01138 Ha",NA,154,71350.7875707259
"154","Igarapé Grande",".","Concluído","Regularizada","Terra Indígena","N",NA,"1539.6777 Ha","Ativo","Principal","16.22888 Ha",NA,155,400963.844699948
"155","Igarapé Lage",".","Planejamento da Demarcação","Homologada","Terra Indígena","N",NA,"107321.1789 Ha","Ativo","Principal","152.29000 Ha",NA,156,28306.2071442992
"156","Igarapé Lourdes",".","Demarcação Física","Regularizada","Terra Indígena","N",NA,"185533.5768 Ha","Ativo","Principal","270.58300 Ha",NA,157,29524.4401009111
"157","Igarapé Ribeirão",".","Demarcação Física","Regularizada","Terra Indígena","N",NA,"47863.3178 Ha","Ativo","Principal","95.62000 Ha",NA,158,18178.4918160807
"158","Ilha da Cotinga",".","Concluído","Regularizada","Terra Indígena","N",NA,"1701.2020 Ha","Ativo","Principal","41.89573 Ha",NA,159,7318.81386014281
"159","Ilha do Camaleão",".","Concluído","Regularizada","Terra Indígena","N",NA,"236.7800 Ha","Ativo","Principal","9.63830 Ha",NA,160,107783.803754664
"160","Imbiriba",".","Processo de Homologação","Regularizada","Terra Indígena","N","Área proposta para revisão","408.3384 Ha","Ativo","Principal","11.77048 Ha",NA,161,24848.5413392197
"161","Inauini/Teuini",".","Concluído","Regularizada","Terra Indígena","N",NA,"468996.3000 Ha","Ativo","Principal","463.68573 Ha",NA,162,35691.4773869826
"162","Inawebohona",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"377113.5744 Ha","Ativo","Principal","421.61000 Ha",NA,163,59775.5139677702
"163","Inhacorá",".","Concluído","Regularizada","Terra Indígena","N",NA,"2843.3796 Ha","Ativo","Principal","25.30706 Ha",NA,164,7831.86382536738
"164","Ipixuna",".","Concluído","Regularizada","Terra Indígena","N",NA,"215362.1079 Ha","Ativo","Principal","273.12823 Ha",NA,165,70655.6516875666
"165","Irantxe",".","Concluído","Regularizada","Terra Indígena","N",NA,"45555.9500 Ha","Ativo","Principal","104.16348 Ha",NA,166,27595.1364153274
"166","Manoki",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"250539.8293 Ha","Ativo","Reestudo","302000.46000 Ha",NA,167,55962.7441260895
"167","Irapuá",".","Contraditório","Delimitada","Terra Indígena","N",NA,"222.0000 Ha","Ativo","Principal","8.00000 Ha",NA,168,2103.92359946646
"168","Itaitinga",".","Concluído","Regularizada","Terra Indígena","N",NA,"135.8842 Ha","Ativo","Principal","6.78065 Ha",NA,169,52569.0366614106
"169","Itaóca",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"533.0000 Ha","Ativo","Principal","14.00000 Ha",NA,170,24992.7525369624
"170","Ivai",".","Concluído","Regularizada","Terra Indígena","N",NA,"7306.3478 Ha","Ativo","Principal","38.21379 Ha",NA,171,3625.64615177653
